City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
97,tigre,0,AR,1534543200,82,-34.42,-58.58,62.6,4.7
98,road town,75,VG,1534543200,79,18.42,-64.62,84.2,10.29
99,butaritari,76,KI,1534547453,100,3.07,172.79,85.34,8.52
100,sosua,40,DO,1534543200,74,19.77,-70.52,87.8,11.41
101,nome,1,US,1534546500,55,30.04,-94.42,95,9.17
104,faanui,68,PF,1534547454,100,-16.48,-151.75,78.05,15.23
106,pervomayskoye,0,RU,1534547454,83,57.07,86.23,55.37,2.82
107,arraial do cabo,40,BR,1534543200,88,-22.97,-42.02,66.2,1.12
108,brezova,0,HR,1534546800,88,46.05,15.93,66.2,3.36
109,bilma,0,NE,1534547455,68,18.69,12.92,78.86,8.63
110,huarmey,8,PE,1534547455,67,-10.07,-78.15,64.91,3.6
111,monduli,0,TZ,1534547455,83,-3.3,36.45,54.29,5.17
112,hasaki,75,JP,1534545000,68,35.73,140.83,69.8,5.82
113,chuy,0,UY,1534547456,82,-33.69,-53.46,58.79,18.03
116,polovinnoye,0,RU,1534547456,92,54.79,65.99,49.88,8.63
117,wilmington,75,US,1534546500,66,39.75,-75.55,89.6,9.17
118,fortuna,0,ES,1534546800,83,38.18,-1.13,77,5.82
120,fuyu,0,CN,1534547457,93,47.79,124.46,66.89,4.61
121,ilulissat,75,GL,1534546200,75,69.22,-51.1,44.6,4.7
122,aguimes,75,ES,1534546800,64,27.91,-15.45,73.4,20.8
123,byron bay,0,AU,1534546800,40,-28.65,153.62,68,5.82
124,komsomolskiy,88,RU,1534547457,95,67.55,63.78,41.78,5.95
125,cabo san lucas,20,MX,1534542360,66,22.89,-109.91,89.6,6.93
126,porto torres,0,IT,1534546200,88,40.84,8.4,69.8,4.7
128,senno,64,RU,1534543200,87,57.76,27.95,59,4.47
129,le port,68,FR,1534547231,100,42.87,1.37,46.28,1.92
130,luderitz,0,NA,1534547459,63,-26.65,15.16,53.21,10.98
131,ponta delgada,20,PT,1534545000,83,37.73,-25.67,73.4,3.36
132,lluta,0,PE,1534543200,11,-16.02,-72.01,66.2,9.17
133,mae hong son,92,MM,1534547459,99,19.3,97.96,69.59,1.03
134,saldanha,0,PT,1534547459,50,41.42,-6.55,67.16,13.11
135,upernavik,92,GL,1534547459,95,72.79,-56.15,39.98,7.4
136,souillac,0,FR,1534546800,77,45.6,-0.6,60.8,1.12
137,fukue,75,JP,1534545000,57,35.03,136.69,75.2,10.29
138,phan thiet,88,VN,1534547460,100,10.93,108.1,76.79,15.46
139,qaanaaq,92,GL,1534547328,94,77.48,-69.36,39.26,3.15
140,dingle,12,PH,1534547460,84,11,122.67,81.56,10.65
141,maldonado,0,UY,1534543200,77,-34.91,-54.96,62.6,5.82
143,saint-pierre,0,FR,1534546800,71,48.95,4.24,59,6.93
144,ribeira grande,0,PT,1534547462,100,38.52,-28.7,75.53,4.27
145,coruripe,92,BR,1534547462,99,-10.12,-36.18,76.07,10.31
146,beppu,40,JP,1534543200,73,33.3,131.49,75.2,10.29
147,puerto ayora,0,EC,1534543200,61,-0.74,-90.35,80.6,21.92
148,puerto baquerizo moreno,40,EC,1534543200,78,-0.9,-89.6,75.2,17.22
149,wanning,36,AT,1534544400,72,48.64,13.53,66.2,4.7
150,heythuysen,0,NL,1534546500,72,51.25,5.9,60.8,1.12
151,wukari,92,NG,1534547463,100,7.87,9.78,70.58,11.32
152,port alfred,0,ZA,1534547463,100,-33.59,26.89,52.31,10.09
153,carnarvon,0,ZA,1534547253,82,-30.97,22.13,27.2,9.64
154,bathsheba,75,BB,1534545060,88,13.22,-59.52,78.8,9.17
155,bexhill,0,GB,1534546200,88,50.84,0.47,62.6,10.29
157,bharatpur,56,NP,1534547464,98,27.68,84.43,71.84,2.59
158,port hardy,40,CA,1534543200,60,50.7,-127.42,68,17.22
159,guerrero negro,0,MX,1534547357,63,27.97,-114.04,82.28,13.44
160,poum,0,MK,1534545000,87,41.28,20.71,59,4.7
162,te anau,0,NZ,1534547464,96,-45.41,167.72,40.16,3.6
163,phalodi,20,IN,1534547464,93,27.13,72.36,82.46,4.83
164,hirara,75,JP,1534543200,88,24.8,125.28,82.4,9.17
165,praia,75,BR,1534543200,87,-20.25,-43.81,59,13.87
166,sola,40,NO,1534546200,87,58.89,5.65,60.8,10.29
167,liverpool,40,GB,1534544400,87,53.41,-2.98,60.8,5.82
168,kieta,44,PG,1534547465,100,-6.22,155.63,79.31,4.16
169,curaca,12,BR,1534547465,46,-8.99,-39.91,80.21,14
170,tasiilaq,12,GL,1534546200,75,65.61,-37.64,46.4,3.36
171,nouadhibou,0,MR,1534543200,73,20.93,-17.03,71.6,18.34
173,samarai,92,PG,1534547466,100,-10.62,150.67,76.7,9.86
174,yangjiang,76,CN,1534547466,100,21.85,111.96,79.67,6.85
175,kununurra,0,AU,1534545000,82,-15.77,128.74,57.2,3.36
176,lompoc,1,US,1534545300,38,34.64,-120.46,87.8,13.87
177,saint george,0,GR,1534546200,53,39.45,22.34,73.4,4.7
178,mariental,0,DE,1534547467,91,52.28,10.99,54.38,3.04
179,ouadda,68,CF,1534547467,96,8.07,22.4,65.18,3.04
180,quatre cocos,40,MU,1534543200,68,-20.21,57.76,71.6,16.11
181,soroti,76,UG,1534547467,100,1.71,33.61,63.56,5.28
182,hamilton,40,BM,1534542900,74,32.3,-64.78,84.2,11.41
183,torbay,90,CA,1534543200,93,47.66,-52.73,51.8,8.05
184,saint-paul,90,FR,1534546800,82,45.22,1.9,64.4,8.05
185,sfantu gheorghe,0,RO,1534545000,68,44.65,26.83,71.6,9.17
186,babanka,0,UA,1534547469,68,48.71,30.45,68.6,5.73
187,aleksandrov gay,68,RU,1534547469,80,50.14,48.57,65.18,14.23
188,tonantins,76,BR,1534547469,93,-2.86,-67.77,76.61,1.81
189,port lincoln,56,AU,1534547469,93,-34.72,135.86,54.83,23.51
190,iralaya,75,HN,1534543200,94,15,-83.23,71.6,3.36
191,murdochville,88,CA,1534547469,80,48.96,-65.49,61.94,1.7
192,hambantota,88,LK,1534547470,100,6.12,81.12,77.6,15.68
193,zhigansk,92,RU,1534547473,93,66.77,123.37,57.08,3.15
194,iqaluit,75,CA,1534543200,87,63.75,-68.52,48.2,14.99
195,montes claros,88,BR,1534547474,87,-16.73,-43.87,62.75,7.63
196,pangnirtung,90,CA,1534543200,81,66.15,-65.72,50,2.24
197,beringovskiy,0,RU,1534547475,72,63.05,179.32,61.04,9.64
198,khvoynaya,0,RU,1534547475,82,58.9,34.53,55.55,4.72
199,cape town,0,ZA,1534543200,70,-33.93,18.42,48.2,4.7
200,brynmawr,90,GB,1534546200,88,51.8,-3.17,62.6,14.99
201,prince rupert,75,CA,1534543200,72,54.32,-130.32,62.6,6.93
202,rumburk,75,CZ,1534546200,82,50.95,14.56,66.2,17.22
203,comodoro rivadavia,20,AR,1534543200,37,-45.87,-67.48,55.4,12.75
204,lebu,75,ET,1534543200,87,8.96,38.73,57.2,2.24
205,gornorechenskiy,56,RU,1534547476,73,44.26,135.11,64.73,3.15
206,mount isa,0,AU,1534545000,15,-20.73,139.49,68,5.82
207,mar del plata,48,AR,1534547476,48,-46.43,-67.52,46.37,17.92
208,daru,92,SL,1534547476,97,7.99,-10.85,72.65,7.74
209,senneterre,75,CA,1534543200,68,48.39,-77.24,69.8,18.34
210,parkes,8,AU,1534547476,75,-33.14,148.18,50.87,11.65
211,bykovo,64,RU,1534547477,57,49.76,45.39,72.11,16.8
213,lienz,24,AT,1534547477,94,46.83,12.77,49.07,1.7
214,finschhafen,92,PG,1534547477,87,-6.6,147.85,75.98,2.71
215,papar,75,MY,1534546800,69,5.73,115.93,80.6,6.93
216,iquitos,20,PE,1534543200,62,-3.75,-73.25,86,4.7
217,margate,20,AU,1534546800,61,-43.03,147.26,48.2,10.29
218,muros,0,ES,1534546800,82,42.77,-9.06,59,6.93
220,sao filipe,20,CV,1534547478,100,14.9,-24.5,77.87,7.07
222,corralillo,20,CU,1534547478,72,22.98,-80.59,84.62,12.55
223,kuandian,64,CN,1534547242,71,40.73,124.78,74.18,3.71
224,leningradskiy,92,RU,1534547478,70,69.38,178.42,48.26,7.96
226,esperance,20,TT,1534543200,74,10.24,-61.45,82.4,4.7
227,kharp,0,RU,1534547478,88,66.82,65.8,42.5,9.53
228,nalut,0,LY,1534547479,48,31.86,10.98,80.21,11.65
229,cherskiy,80,RU,1534547479,73,68.75,161.3,50.69,8.19
230,otane,92,NZ,1534547479,87,-39.89,176.62,44.21,8.19
231,takaka,0,NZ,1534547479,92,-40.86,172.81,50.69,2.26
232,hami,0,CN,1534547479,44,42.84,93.51,65.27,4.16
233,kahului,40,US,1534542840,70,20.89,-156.47,87.8,21.92
234,richards bay,92,ZA,1534547479,100,-28.77,32.06,58.16,15.9
235,port hedland,0,AU,1534545000,43,-20.31,118.58,55.4,9.17
236,atambua,0,ID,1534547208,100,-9.11,124.89,76.34,7.18
237,mehamn,12,NO,1534547480,96,71.03,27.85,50.96,3.27
238,isangel,0,VU,1534547480,100,-19.55,169.27,72.65,8.75
239,nara,75,JP,1534545000,60,34.68,135.8,73.4,10.29
240,moose factory,1,CA,1534543200,71,51.26,-80.61,51.8,8.05
241,sao miguel do araguaia,92,BR,1534547481,92,-13.28,-50.16,70.22,4.72
242,milkovo,0,BG,1534546800,68,41.53,24.68,69.8,3.04
243,tinskoy,88,RU,1534547481,86,56.15,96.92,61.04,2.26
244,hangzhou,0,CN,1534545000,94,30.25,120.21,80.6,4.47
248,elat,80,CM,1534547481,96,2.91,11.16,68.96,2.59
249,bindura,0,ZW,1534547482,72,-17.3,31.33,46.91,2.71
250,normandin,90,CA,1534543200,93,48.84,-72.53,62.6,3.36
251,gualaquiza,48,EC,1534547482,96,-3.4,-78.58,61.85,1.7
252,grinnell,1,US,1534545300,61,41.74,-92.72,84.2,5.82
253,suluq,0,LY,1534542300,74,31.67,20.25,78.8,19.46
254,paraiso,75,MX,1534542240,32,24.01,-104.61,80.6,10.29
256,shache,0,CN,1534547483,62,38.42,77.24,58.61,3.94
257,gigmoto,24,PH,1534547483,97,13.78,124.39,82.91,16.13
260,middlebury,90,US,1534546440,83,44.01,-73.17,77,5.82
261,mandalgovi,0,MN,1534547483,68,45.76,106.27,58.52,4.38
262,las lajas,68,HN,1534547483,86,14.9,-87.59,73.46,2.04
